tavg,tx,tn,rhavg,rhx,rhn,td,ddavg,ffavg,rr,lwavg,pavg,gSunRadavg,tgavg_5_cm,tgavg_10_cm,tgavg_30_cm,smavg_10_cm,smavg_30_cm,tavg50,tx50,tn50
10.2,10.4,10.1,68.7,69.5,67.3,4.7,186.2,19.5,0.0,0,,,,,,,,,,
10.3,10.4,10.1,68.4,69.3,67.2,4.8,191.6,19.8,0.0,0,,,,,,,,,,
10.1,10.4,10.0,69.7,70.9,68.3,4.8,176.5,18.2,0.0,0,,,,,,,,,,
10.2,10.3,10.1,70.3,71.0,69.5,5.1,188.8,18.9,0.0,0,,,,,,,,,,
75.0,10.3,10.0,71.0,71.8,70.2,5.1,180.0,20.7,0.0,0,,,,,,,,,,
10.2,10.3,10.1,71.5,72.4,70.7,5.3,203.0,19.0,0.0,0,,,,,,,,,,
10.3,10.6,10.1,70.8,71.9,69.2,5.2,164.3,18.9,0.0,0,,,,,,,,,,
10.4,10.6,10.2,70.6,72.0,69.6,5.3,178.9,16.5,0.0,0,,,,,,,,,,
10.4,10.6,10.1,71.2,72.4,70.4,5.4,198.1,16.0,0.0,0,,,,,,,,,,
10.7,11.1,10.4,69.3,71.4,67.5,5.3,196.5,19.9,0.0,0,,,,,,,,,,
10.8,11.0,10.6,68.6,69.4,67.8,5.3,208.1,18.5,0.0,0,,,,,,,,,,
10.8,10.9,10.6,68.0,68.6,67.1,5.1,193.5,17.8,0.0,0,,,,,,,,,,
10.8,10.9,10.6,66.9,67.8,66.2,4.9,217.6,19.8,0.0,0,,,,,,,,,,
11.0,11.2,10.7,66.6,67.4,65.8,5.0,210.5,19.5,0.0,0,,,,,,,,,,
10.7,10.9,10.5,68.6,69.5,67.4,5.2,196.9,17.2,0.0,0,,,,,,,,,,
10.4,10.5,10.2,70.2,71.1,69.1,5.2,222.4,14.6,0.0,0,,,,,,,,,,
10.3,10.5,10.2,69.9,70.9,68.4,5.1,203.4,15.0,0.0,0,,,,,,,,,,
10.5,10.6,10.4,69.0,69.8,68.4,5.1,207.5,18.4,0.0,0,,,,,,,,,,
10.4,10.6,10.3,68.6,69.7,67.9,4.9,190.4,18.5,0.0,0,,,,,,,,,,
10.2,10.3,10.0,67.5,68.2,67.2,4.5,190.9,14.8,0.0,0,,,,,,,,,,
9.9,10.2,9.6,68.4,70.4,67.2,4.4,202.8,13.6,0.0,0,,,,,,,,,,
9.5,9.7,9.3,70.9,71.3,70.0,4.5,192.0,8.0,0.0,0,,,,,,,,,,
8.9,9.4,8.6,72.1,73.1,70.5,4.2,186.4,6.9,0.0,0,,,,,,,,,,
8.7,9.0,8.6,71.6,72.2,70.8,3.9,197.3,6.3,0.0,0,,,,,,,,,,
8.9,9.1,8.6,70.6,71.5,69.7,3.9,241.7,7.4,0.0,0,,,,,,,,,,
8.9,9.1,8.5,70.1,72.0,68.7,3.8,190.7,8.4,0.0,0,,,,,,,,,,
9.6,9.9,9.2,66.8,68.4,65.5,3.8,179.3,9.7,0.0,0,,,,,,,,,,
10.1,10.3,9.9,64.8,65.5,64.0,3.8,168.0,10.8,0.0,0,,,,,,,,,,
10.6,10.9,10.4,63.0,63.7,61.9,3.9,172.9,11.1,0.0,0,,,,,,,,,,
11.3,11.5,11.0,60.8,61.7,59.6,4.0,201.7,14.8,0.0,0,,,,,,,,,,
11.6,11.9,11.4,59.2,60.1,58.5,3.9,156.3,13.2,0.0,0,,,,,,,,,,
12.2,12.4,11.9,57.6,59.0,56.1,4.1,191.4,10.7,0.0,0,,,,,,,,,,
12.8,13.4,12.3,56.0,56.9,54.5,4.3,176.8,8.4,0.0,0,,,,,,,,,,
12.9,13.1,12.7,55.7,56.5,54.7,4.3,197.2,8.0,0.0,0,,,,,,,,,,
13.2,13.5,13.0,54.8,56.0,53.7,4.3,189.3,8.1,0.0,0,,,,,,,,,,
13.5,13.8,13.0,55.1,56.7,53.6,4.7,251.8,5.1,0.0,0,,,,,,,,,,
13.6,13.9,13.3,54.9,57.4,51.9,4.7,209.6,6.9,0.0,0,,,,,,,,,,
14.3,14.6,14.0,49.6,51.2,46.9,3.9,197.6,6.0,0.0,0,,,,,,,,,,
14.0,14.7,13.4,51.0,53.0,47.5,4.0,182.3,9.5,0.0,0,,,,,,,,,,
13.6,14.0,13.1,51.5,52.8,49.9,3.8,156.0,6.4,0.0,0,,,,,,,,,,
13.3,13.9,12.5,54.7,58.7,50.4,4.4,130.3,5.1,0.0,0,,,,,,,,,,
11.9,12.4,11.1,59.7,62.5,57.9,4.3,160.9,4.9,0.0,0,,,,,,,,,,
11.0,11.3,10.8,62.7,63.3,61.7,4.2,192.1,7.0,0.0,0,,,,,,,,,,
10.6,10.8,10.2,63.3,64.4,62.3,3.9,187.6,7.8,0.0,0,,,,,,,,,,
10.5,10.8,10.0,63.1,65.1,61.4,3.8,189.2,7.5,0.0,0,,,,,,,,,,
10.1,10.4,9.7,65.2,66.5,63.8,3.9,189.1,8.5,0.0,0,,,,,,,,,,
9.5,9.7,9.3,68.0,68.6,67.3,3.9,185.5,7.1,0.0,0,,,,,,,,,,
9.0,9.5,8.5,70.0,71.8,68.2,3.8,164.5,7.7,0.0,0,,,,,,,,,,
8.6,8.9,8.3,71.9,73.4,70.8,3.8,266.5,6.4,0.0,0,,,,,,,,,,
8.1,9.3,6.7,73.9,79.8,69.5,3.7,165.4,3.9,0.0,0,,,,,,,,,,
8.1,8.9,7.4,74.1,77.6,69.7,3.8,196.6,7.1,0.0,0,,,,,,,,,,
7.6,8.3,7.0,75.1,78.7,72.0,3.5,185.6,6.7,0.0,0,,,,,,,,,,
7.3,7.7,6.5,76.1,79.2,74.6,3.4,154.6,4.8,0.0,0,,,,,,,,,,
6.5,7.4,5.5,79.6,84.1,75.8,3.2,311.0,4.7,0.0,1,,,,,,,,,,
6.3,7.0,5.6,81.0,84.2,77.7,3.3,137.2,3.4,0.0,6,,,,,,,,,,
5.8,6.7,5.0,82.4,84.1,79.6,3.0,284.3,3.0,0.0,9,,,,,,,,,,
5.1,5.3,4.9,80.6,84.5,79.0,2.1,146.7,4.5,0.0,2,,,,,,,,,,
4.6,5.6,3.4,87.6,92.5,83.6,2.7,189.2,6.9,0.0,10,,,,,,,,,,
5.5,5.8,5.2,83.8,86.2,81.7,3.0,145.3,6.4,0.0,3,,,,,,,,,,
4.9,5.4,4.5,85.6,87.8,82.7,2.7,223.7,3.5,0.0,10,,,,,,,,,,
5.1,5.6,4.5,84.7,88.6,81.5,2.7,170.6,5.1,0.0,10,,,,,,,,,,
5.5,5.8,5.2,81.2,82.3,79.8,2.5,169.7,6.2,0.0,1,,,,,,,,,,
5.6,5.7,5.3,80.4,81.6,79.7,2.5,180.1,7.6,0.0,1,,,,,,,,,,
5.8,6.1,5.6,78.5,80.4,75.8,2.4,159.2,8.0,0.0,0,,,,,,,,,,
